Time;Rating;Start;Choose
30.832;1;0;0
48.878;2;1;0
80.389;3;0;1
108.172;5;1;1
11.111;2;0;0
52.086;3;1;0
105.888;2;0;1
105.537;3;1;1
38.555;2;0;0
67.384;4;1;0
101.267;3;0;1
106.859;4;1;1
43.85;1;0;0
59.374;1;1;0
116.685;5;0;1
108.634;4;1;1
21.893;1;0;0
63.141;3;1;0
99.639;4;0;1
108.362;5;1;1
23.582;2;0;0
42.76;2;1;0
108.119;4;0;1
86.554;5;1;1
37.135;2;0;0
46.293;2;1;0
87.443;5;0;1
106.494;3;1;1
36.129;2;0;0
56.824;4;1;0
87.689;4;0;1
100.153;5;1;1
31.883;1;0;0
47.122;3;1;0
101.673;5;0;1
128.712;5;1;1
35.2;2;0;0
46.117;3;1;0
99.057;4;0;1
101.659;5;1;1
10.987;1;0;0
61.441;3;1;0
95.981;4;0;1
106.228;4;1;1
30.617;1;0;0
49.151;2;1;0
84.891;3;0;1
91.714;4;1;1
38.253;1;0;0
60.767;2;1;0
97.605;4;0;1
86.835;3;1;1
13.837;1;0;0
47.013;3;1;0
81.891;2;0;1
87.299;4;1;1
34.452;2;0;0
53.654;2;1;0
80.542;3;0;1
85.855;4;1;1
30.436;2;0;0
50.483;2;1;0
98.968;3;0;1
81.493;3;1;1
31.748;1;0;0
65.87;1;1;0
108.226;4;0;1
100.515;3;1;1
40.038;1;0;0
50.232;4;1;0
46.327;3;0;1
95.314;5;1;1
18.592;1;0;0
48.323;1;1;0
89.048;3;0;1
99.193;4;1;1
22.202;3;0;0
44.201;2;1;0
93.746;3;0;1
103.522;3;1;1
30.316;2;0;0
43.344;3;1;0
101.8;4;0;1
130.172;4;1;1
43.808;2;0;0
40.325;2;1;0
101.425;4;0;1
101.093;5;1;1
21.945;1;0;0
64.843;2;1;0
56.411;4;0;1
86.144;3;1;1
38.62;1;0;0
51.417;3;1;0
95.118;4;0;1
97.448;3;1;1
35.385;2;0;0
64.243;2;1;0
108.11;4;0;1
73.454;3;1;1
35.851;1;0;0
56.65;4;1;0
105.229;3;0;1
101.384;5;1;1
31.008;1;0;0
48.805;4;1;0
105.027;4;0;1
76.4;1;1;1
37.184;1;0;0
56.883;3;1;0
102.285;4;0;1
113.687;3;1;1
35.962;1;0;0
53.713;2;1;0
87.949;2;0;1
96.736;3;1;1
36.917;1;0;0
56.051;2;1;0
46.797;2;0;1
90.392;4;1;1
31.417;1;0;0
62.078;2;1;0
103.713;4;0;1
85.107;4;1;1
38.223;2;0;0
61.006;1;1;0
105.334;3;0;1
109.972;5;1;1
38.228;1;0;0
34.551;2;1;0
84.829;5;0;1
98.399;3;1;1
33.854;1;0;0
56.692;2;1;0
87.483;4;0;1
100.647;4;1;1
